Table 1
fruit,fruit_pairing,herbspice_pairing,nut_pairing,spirit_pairing,misc_pairing
Apple,"Apricot, blackberry, cherry, cranberry, currant, date, lychee, mango, orange, pear, pineapple, plum, pomegranate, pumpkin, quince","Allspice, cardamom, cinnamon, cloves, coriander, cumin, ginger, nutmeg, rosemary, star anise, thyme","Almond, chestnut, hazelnut, pecan, pine nut, pistachio, walnut","Armagnac, bourbon, brandy, calvados, cognac, Cointreau, Kirsch, Madeira, rum, sherry, vermouth","Caramel, maple syrup, molasses, vanilla"
Apricot,"Apple, banana, blackberry, blueberry, cherry, coconut, cranberry, lemon, orange, peach, pineapple, plum, prune, raspberry, strawberry","Cardamom, cayenne, cinnamon, coriander, ginger, nutmeg, rosemary, saffron","Almond, hazelnut, pine nut, pistachio, walnut","Amaretto, brandy, cognac, Kirsch, orange liqueur, rum","Caramel, honey, maple syrup, mascarpone, vanilla"
Banana,"Apricot, blackberry, blueberry, cherry, coconut, date, guava, lemon, lime, mango, orange, papaya, passion fruit, pineapple, pomegranate, raspberry, strawberry","Allspice, cardamom, cinnamon, cloves, ginger, macadamia, nutmeg","Cashew, hazelnut, peanut, pecan, pistachio, walnut","Armagnac, banana liqueur, brandy, calvados, cognac, Kirsch, Madeira, rum","Caramel, chocolate, coffee, crème fraîche, honey, maple syrup, molasses, vanilla "
Blackberry,"Apple, apricot, banana, blueberry, lemon, mango, melon, nectarine, orange, peach, plum, raspberry, strawberry, watermelon","Cinnamon, cloves, ginger, mint","Almond, hazelnut","Brandy, champagne, Cointreau, Grand Marnier, Kirsch, orange liqueur ","Caramel, crème fraîche, honey, mascarpone, vanilla"
Blueberry,"Apple, apricot, banana, blackberry, fig, lemon, mango, melon, nectarine, orange, peach, pear, pineapple, raspberry, rhubarb, strawberry, watermelon","Allspice, cardamom, cinnamon, cloves, ginger, lavender, mint, nutmeg","Almond, hazelnut, pecan, pine nut, walnut","Cognac, Kirsch, orange liqueur, port, rum, triple sec","Crème fraîche, honey, maple syrup, mascarpone, molasses, ricotta, vanilla"
Cantaloupe,"Grapefruit, melon, raspberry","Basil, cilantro, ginger, mint, star anise, tarragon",,Port,
Cherry,"Apricot, coconut, lemon, melon, nectarine, orange, peach, plum, quince, raspberry","Allspice, cinnamon, cloves, coriander, ginger, sage, thyme","Almond, hazelnut, pecan, pistachio, walnut","Amaretto, Armagnac, bourbon, brandy, cassis, Grand Marnier, kirsch, red wine, rum, vodka","Caramel, chocolate, coffee, crème fraîche, honey, mascarpone, vanilla"
Coconut,"Apricot, banana, blackberry, cherry, date, grapefruit, guava, kiwi, kumquat, lemon, lime, lychee, mango, orange, papaya, passion fruit, pineapple","Allspice, basil, cardamom, cilantro, cinnamon, cloves, coriander, cumin, ginger, Kaffir leaf, lemongrass, mint, nutmeg","Almond, brazil nut, cashew, macadamia, peanut, pistachio ",Rum,"Caramel, chocolate, crème fraîche, honey, mascarpone, rose water, vanilla"
Cranberry,"Apple, apricot, lemon, lime, orange, peach, pear, pumpkin, quince, tangerine","Allspice, cinnamon, cloves, ginger, star anise, thyme","Almond, hazelnut, pistachio, walnut","Cognac, Grand Marnier, white wine","Honey, maple syrup, vanilla"
Date,"Apple, apricot, banana, coconut, lemon, lime, orange, prune, quince","Cinnamon, ginger, rosemary, thyme","Almond, hazelnut, macadamia, pecan, pistachio, walnut","Armagnac, brandy, red wine, rum","Caramel, chocolate, coffee, crème fraîche, maple syrup, mascarpone, orange blossom water, vanilla"
Grape,"Apple, lemon, pear, raspberry, strawberry","Cayenne, cumin, ginger, mint, paprika, rosemary","Almond, hazelnut, pecan, pistachio, walnut","Brandy, cognac, rum","Honey, white chocolate"
Grapefruit,"Avocado, banana, coconut, lemon, lime, melon, orange, papaya, pineapple, pomegranate, raspberry, strawberry, tomato","Basil, ginger, mint, rosemary, star anise, tarragon, thyme","Cashew, hazelnut, macadamia, pecan, walnut","Campari, champagne, gin, Grand Marnier, port, rum, tequila, vodka","Caramel, crème fraîche, grenadine, honey, vanilla"
Guava,"Banana, coconut, lemon, lime, orange, passion fruit, pineapple, strawberry",Ginger,"Cashew, macadamia",Rum,"White chocolate, honey, mascarpone"
